number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"28386","いんげん","4℃以下で保存して下さい。 ","","(１食当たり)","","","2.5","0.180","0.020","0.550","0.00"
"28387","さつまいも甘煮","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","","65.1","0.480","0.080","16.484","0.00"
"28388","ひじきの炒め煮","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、還元澱粉分解物","乳成分・小麦","37.0","1.707","2.150","3.480","0.47"
"28389","紅白なます","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、還元澱粉分解物","乳成分・小麦","36.6","0.497","0.545","7.691","0.21"
"28390","もやしの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","1.582","1.389","1.240","0.44"
"28391","いとこ煮（かぼちゃ）","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","","75.5","1.320","0.205","19.495","0.02"
"28392","ほうれんそう胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","還元澱粉分解物","乳成分・小麦","30.6","1.824","1.724","2.688","0.38"
"28393","春菊お浸し","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","8.1","0.168","0.015","1.846","0.28"
"28394","茄子の炒め煮","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）","小麦","37.1","0.789","2.042","4.861","0.50"
"28395","ごぼう甘辛炒め","4℃以下で保存して下さい。 ","","(１食当たり)","保存料（アルコール）、pH調整剤　乳化剤　酸味料、還元澱粉分解物","乳成分・小麦","42.5","0.892","0.750","9.371","0.64"
"28396","キャベツと人参和風スパゲティ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","48.4","1.487","0.742","8.713","0.32"
